root,SKU,Price,Product Link,Product Rating,Rating Count,Source,Review Link,Brand,,
https://www.amazon.in/s?k=rage+coffee&i=grocery&rh=n%3A2454178031%2Cp_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&dc&ds=v1%3AcpB7Cnbwt4CzkYdzb%2BDQED2bUKX9z8ovvd06yC85xw4&qid=1654510471&rnid=1318483031&ref=sr_nr_p_n_availability_2,Rage Coffee 100 Gms Butterscotch Delight Flavour - Premium Arabica Instant Coffee (Make Delicious Hot/Cold Coffee),424,https://www.amazon.in/Rage-Coffee-Butterscotch-Delight-Flavour/dp/B08Q44BXY9/ref=sr_1_11?keywords=rage+coffee&qid=1654510857&refinements=p_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&rnid=1318483031&s=grocery&sr=1-11,4.2 out of 5 stars,148,Amazon,https://www.amazon.in/Rage-Coffee-Butterscotch-Delight-Flavour/product-reviews/B08Q44BXY9/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Rage Coffee,|,https://www.amazon.in/Rage-Coffee-Butterscotch-Delight-Flavour/product-reviews/B08Q44BXY9/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1|
https://www.amazon.in/s?k=rage+coffee&i=grocery&rh=n%3A2454178031%2Cp_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&dc&ds=v1%3AcpB7Cnbwt4CzkYdzb%2BDQED2bUKX9z8ovvd06yC85xw4&qid=1654510471&rnid=1318483031&ref=sr_nr_p_n_availability_2,Rage Coffee - 200 GMS Original Blend - Premium Arabica Instant Coffee,799,https://www.amazon.in/Rage-Coffee-Original-Premium-Arabica/dp/B082NBN9FJ/ref=sr_1_12?keywords=rage+coffee&qid=1654510857&refinements=p_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&rnid=1318483031&s=grocery&sr=1-12,4.4 out of 5 stars,218,Amazon,https://www.amazon.in/Rage-Coffee-Original-Premium-Arabica/product-reviews/B082NBN9FJ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Rage Coffee,|,https://www.amazon.in/Rage-Coffee-Original-Premium-Arabica/product-reviews/B082NBN9FJ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1|
https://www.amazon.in/s?k=rage+coffee&i=grocery&rh=n%3A2454178031%2Cp_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&dc&ds=v1%3AcpB7Cnbwt4CzkYdzb%2BDQED2bUKX9z8ovvd06yC85xw4&qid=1654510471&rnid=1318483031&ref=sr_nr_p_n_availability_2,"Rage Coffee 50 Gms Vanilla Bubblegum Flavour - Premium Arabica Instant Coffee | Boldest, Smoothest, Tastiest, All Natural Coffee",239,https://www.amazon.in/Rage-Coffee-Vanilla-Bubblegum-Flavour/dp/B08Q43MMWZ/ref=sr_1_13?keywords=rage+coffee&qid=1654510857&refinements=p_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&rnid=1318483031&s=grocery&sr=1-13,3.9 out of 5 stars,96,Amazon,https://www.amazon.in/Rage-Coffee-Vanilla-Bubblegum-Flavour/product-reviews/B08Q43MMWZ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Rage Coffee,|,https://www.amazon.in/Rage-Coffee-Vanilla-Bubblegum-Flavour/product-reviews/B08Q43MMWZ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1|
https://www.amazon.in/s?k=rage+coffee&i=grocery&rh=n%3A2454178031%2Cp_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&dc&ds=v1%3AcpB7Cnbwt4CzkYdzb%2BDQED2bUKX9z8ovvd06yC85xw4&qid=1654510471&rnid=1318483031&ref=sr_nr_p_n_availability_2,Rage Coffee Combo Pack of 3 - Irish Hazelnut & Dark Chocolate & Creme Caramel Flavoured Coffee 50 GMS Each,854,https://www.amazon.in/Rage-Coffee-Combo-Pack-Chocolate/dp/B08DG6KYY2/ref=sr_1_14?keywords=rage+coffee&qid=1654510857&refinements=p_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&rnid=1318483031&s=grocery&sr=1-14,4.5 out of 5 stars,149,Amazon,https://www.amazon.in/Rage-Coffee-Combo-Pack-Chocolate/product-reviews/B08DG6KYY2/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Rage Coffee,|,https://www.amazon.in/Rage-Coffee-Combo-Pack-Chocolate/product-reviews/B08DG6KYY2/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1|
https://www.amazon.in/s?k=rage+coffee&i=grocery&rh=n%3A2454178031%2Cp_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&dc&ds=v1%3AcpB7Cnbwt4CzkYdzb%2BDQED2bUKX9z8ovvd06yC85xw4&qid=1654510471&rnid=1318483031&ref=sr_nr_p_n_availability_2,Rage Coffee 100 GMS Creme Caramel Flavoured Coffee - Premium Arabica Instant Coffee,424,https://www.amazon.in/Rage-Coffee-Creme-Caramel-Flavoured/dp/B082P2QMYZ/ref=sr_1_15?keywords=rage+coffee&qid=1654510857&refinements=p_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&rnid=1318483031&s=grocery&sr=1-15,4.2 out of 5 stars,269,Amazon,https://www.amazon.in/Rage-Coffee-Creme-Caramel-Flavoured/product-reviews/B082P2QMYZ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Rage Coffee,|,https://www.amazon.in/Rage-Coffee-Creme-Caramel-Flavoured/product-reviews/B082P2QMYZ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1|
https://www.amazon.in/s?k=rage+coffee&i=grocery&rh=n%3A2454178031%2Cp_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&dc&ds=v1%3AcpB7Cnbwt4CzkYdzb%2BDQED2bUKX9z8ovvd06yC85xw4&qid=1654510471&rnid=1318483031&ref=sr_nr_p_n_availability_2,Rage Coffee 75 Gms Dark Roast Instant Filter Coffee Slow Roasted For Intense Flavour,299,https://www.amazon.in/Coffee-Instant-Roasted-Intense-Flavour/dp/B0B1Q2LDF5/ref=sr_1_16?keywords=rage+coffee&qid=1654510857&refinements=p_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&rnid=1318483031&s=grocery&sr=1-16,,,Amazon,https://www.amazon.in/Coffee-Instant-Roasted-Intense-Flavour/product-reviews/B0B1Q2LDF5/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Rage Coffee,|,https://www.amazon.in/Coffee-Instant-Roasted-Intense-Flavour/product-reviews/B0B1Q2LDF5/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1|
https://www.amazon.in/s?k=rage+coffee&i=grocery&rh=n%3A2454178031%2Cp_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&dc&ds=v1%3AcpB7Cnbwt4CzkYdzb%2BDQED2bUKX9z8ovvd06yC85xw4&qid=1654510471&rnid=1318483031&ref=sr_nr_p_n_availability_2,"Rage's Instant Coffee Combo Pack of 4 - 50gms each of Butterscotch Delight, Vanilla Bubblegum, Mint Mocha & Chai Latte (Flavoured Coffee made using premium Arabica beans)",899,https://www.amazon.in/Rage-Coffee-Combo-Pack-Butterscotch/dp/B08SQRNMZX/ref=sr_1_17?keywords=rage+coffee&qid=1654510857&refinements=p_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&rnid=1318483031&s=grocery&sr=1-17,4.4 out of 5 stars,75,Amazon,https://www.amazon.in/Rage-Coffee-Combo-Pack-Butterscotch/product-reviews/B08SQRNMZX/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Rage Coffee,|,https://www.amazon.in/Rage-Coffee-Combo-Pack-Butterscotch/product-reviews/B08SQRNMZX/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1|
https://www.amazon.in/s?k=rage+coffee&i=grocery&rh=n%3A2454178031%2Cp_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&dc&ds=v1%3AcpB7Cnbwt4CzkYdzb%2BDQED2bUKX9z8ovvd06yC85xw4&qid=1654510471&rnid=1318483031&ref=sr_nr_p_n_availability_2,"Rage Coffee 50 Gms Mint Mocha Flavour - Premium Arabica Instant Coffee | Boldest, Smoothest, Tastiest, All Natural Coffee",239,https://www.amazon.in/Rage-Coffee-Mint-Mocha-Flavour/dp/B08Q43H1VM/ref=sr_1_18?keywords=rage+coffee&qid=1654510857&refinements=p_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&rnid=1318483031&s=grocery&sr=1-18,4.2 out of 5 stars,62,Amazon,https://www.amazon.in/Rage-Coffee-Mint-Mocha-Flavour/product-reviews/B08Q43H1VM/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Rage Coffee,|,https://www.amazon.in/Rage-Coffee-Mint-Mocha-Flavour/product-reviews/B08Q43H1VM/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1|
https://www.amazon.in/s?k=rage+coffee&i=grocery&rh=n%3A2454178031%2Cp_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&dc&ds=v1%3AcpB7Cnbwt4CzkYdzb%2BDQED2bUKX9z8ovvd06yC85xw4&qid=1654510471&rnid=1318483031&ref=sr_nr_p_n_availability_2,Rage Coffee - 3.25 GMS x 10 Sachet Shots Irish Hazelnut - Premium Arabica Instant Coffee,249,https://www.amazon.in/Rage-Coffee-Hazelnut-Premium-Arabica/dp/B09RG1V3L4/ref=sr_1_19?keywords=rage+coffee&qid=1654510857&refinements=p_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&rnid=1318483031&s=grocery&sr=1-19,5.0 out of 5 stars,1,Amazon,https://www.amazon.in/Rage-Coffee-Hazelnut-Premium-Arabica/product-reviews/B09RG1V3L4/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Rage Coffee,|,https://www.amazon.in/Rage-Coffee-Hazelnut-Premium-Arabica/product-reviews/B09RG1V3L4/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1|
https://www.amazon.in/s?k=rage+coffee&i=grocery&rh=n%3A2454178031%2Cp_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&dc&ds=v1%3AcpB7Cnbwt4CzkYdzb%2BDQED2bUKX9z8ovvd06yC85xw4&qid=1654510471&rnid=1318483031&ref=sr_nr_p_n_availability_2,Rage Coffee 200 ML Instant Coffee Decoction Irish Hazelnut Liquid Coffee 100% Arabica Coffee (Pack of 1),399,https://www.amazon.in/Rage-Coffee-Instant-Decoction-Hazelnut/dp/B09Q63TC6S/ref=sr_1_20?keywords=rage+coffee&qid=1654510857&refinements=p_89%3ARage+Coffee%2Cp_n_availability%3A1318485031&rnid=1318483031&s=grocery&sr=1-20,4.2 out of 5 stars,16,Amazon,https://www.amazon.in/Rage-Coffee-Instant-Decoction-Hazelnut/product-reviews/B09Q63TC6S/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Rage Coffee,|,https://www.amazon.in/Rage-Coffee-Instant-Decoction-Hazelnut/product-reviews/B09Q63TC6S/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1|
